id,text,label,label_text,sentiment
cb774db0d1," I`d have responded, if I were going",1,neutral,-1
549e992a42, Sooo SAD I will miss you here in San Diego!!!,0,negative,-1
088c60f138,my boss is bullying me...,0,negative,-1
9642c003ef, what interview! leave me alone,0,negative,-1
358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought",0,negative,-1
28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,1,neutral,1
6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,2,positive,1
e050245fbd, Both of you,1,neutral,0
fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),2,positive,1
2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",1,neutral,-1
16fab9f95b,I really really like the song Love Story by Taylor Swift,2,positive,1
74a76f6e0a,My Sharpie is running DANGERously low on ink,0,negative,-1
04dd1d2e34,i want to go to music tonight but i lost my voice.,0,negative,-1
bbe3cbf620,test test from the LG enV2,1,neutral,0
8a939bfb59,"Uh oh, I am sunburned",0,negative,-1
3440297f8b," S`ok, trying to plot alternatives as we speak *sigh*",0,negative,-1
919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",0,negative,-1
af3fed7fc3,is back home now      gonna miss every one,0,negative,0
40e7becabf,Hes just not that into you,1,neutral,-1
04d17ef61e," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",1,neutral,1
